"Now Shopping by","Huidige filters"
"This quote cannot be viewed at the current website. Would you like to navigate to the website where you created this quote?","Deze offerte kan niet worden bekeken op de huidige website. Wilt u naar de website navigeren waar u deze offerte hebt gemaakt?"
"Show My Orders","Toon mijn bestellingen"
"Show All Orders","Toon alle bestellingen"
Merge,Samenvoegen
Replace,Vervangen
"Quote Comments","Offerte opmerkingen"
Expires:,Verloopt:
"Sales Rep.:",Vertegenwoordiger:
"Select Existing Address","Selecteer bestaand adres"
"Select a shipping address from your address book.","Selecteer een verzendadres uit uw adresboek."
"Send for Review","Verstuur voor beoordeling"
"Proceed to Checkout","Ga door naar afrekenen"
"Close quote","Offerte sluiten"
"Remove item","Verwijder dit artikel"
"Quote Items","Geoffreerde artikelen"
"No shipping information available.","Geen verzendgegevens beschikbaar."
"Your quote number is: %1.","Uw offertenummer is: %1."
"The quote has been sent to the merchant.","De offerte is verstuurd naar de verkoper."
"Continue Shopping","Ga verder met winkelen"
"Please specify the reason","Geef de reden op"
"Dear %merchant_name,","Geachte %merchant_name,"
"New quote ","Nieuwe offerte "
" submitted by buyer"," verstuurd door koper"
"Thank you,","Bedankt,"
"Dear %customer_name,","Geachte %customer_name,"
"Your quote ","Uw offerte "
" has been declined by the seller."," is door de verkoper afgewezen."
"Reason: %reason.","Reden: %reason."
" expires on "," verloopt op "
" after which time you can’t order the items in the quote. After the expiration,
    you’ll have to negotiate the price with the seller again.","na die tijd kunt u de items in de offerte niet bestellen. Na de vervaldatum moet u opnieuw onderhandelen over de prijs met de verkoper."
"Dear %merchantName,","Geachte %merchantName,"
"The quote ","De offerte "
" after which time it will be reset to its default expiration period. To extend the
    lifetime of the quote, update its expiration date.","na die tijd wordt het gereset naar de standaard-vervaltijd. Als u de levensduur van de offerte wilt verlengen, moet u de vervaldatum bijwerken."
"Expiration date for the Quote %quoteName has been reset so you can keep working on the quote.
    You can set a new expiration date if you wish.","Vervaldatum voor de offerte %quoteName is gereset, zodat u aan de offerte kunt blijven werken. U kunt desgewenst een nieuwe vervaldatum instellen."
"Quote ","Offerte "
" updated by buyer"," bijgewerkt door koper"
"The seller responded to your quote ","The verkoper heeft op uw offerte gereageerd "
"The Quote expires after ","De offerte vervalt na "
"Item in Quote","Artikel in offerte"
"Items in Quote","Artikelen in offerte"
"Apply Discount Code","Pas kortingscode toe"
"Enter discount code","Voer kortingscode in"
"Apply Discount","Korting doorvoeren"
"Cancel coupon","Kortingscode annuleren"
"Apply Gift Card","Cadeaubon toepassen"
"Enter the gift card code","Voer de code van uw cadeaubon in"
"Gift Card:",Cadeaubon:
"Current Balance: ","Huidig saldo: "
"See Balance","Balans bekijken"
"Update Catalog Prices","Catalogus prijzen bijwerken"
"If you proceed, catalog prices and cart discounts on this quote will be updated as per the latest changes in the catalog and the price rules.","Als u doorgaat worden catalogusprijzen en kortingen op deze prijsopgave bijgewerkt volgens de laatste wijzigingen in de catalogus en de prijsregels."
"Please enter a number greater than 0 in this field","Voer in dit veld a.u.b. een getal groter dan 0 in"
"Please enter a non-decimal number please","Voer a.u.b. een heel getal in."
"This is a required option.","Dit is een verplichte optie."
"The field isn't complete.","Het veld is niet compleet."
"Maximum length of the message is ","Maximale lengte van het bericht is "
"Decline Quote?","Offerte weigeren?"
"If you click [Confirm], all custom pricing from the selected quotes will be removed. The buyers will be able to place orders using their standard catalog prices.","Als u op [Bevestigen] klikt, worden alle aangepaste prijzen uit de geselecteerde offertes verwijderd. De kopers kunnen bestellingen plaatsen met behulp van hun standaard catalogusprijzen."
"Decline Quotes?","Offertes weigeren?"
"Cannot Decline the Selected Quotes","Kan de geselecteerde offerte niet afwijzen"
"Only the quotes that are currently in status 'Open' can be declined","Alleen de offertes met de status 'Open' kunnen worden geweigerd"
Confirm,Bevestigen
"If you decline this quote, all custom pricing from this quote will be removed. The buyer will be able to place an order using their standard catalog prices and discounts.","Als u deze offerte weigert worden alle aangepaste prijzen uit deze offerte verwijderd. De koper kan een bestelling plaatsen met behulp van de standaard catalogusprijzen en kortingen."
Proceed,Doorgaan
"Your file could not be uploaded. Please try again.","Uw bestand kan niet worden geüpload. Probeer het opnieuw."
"You cannot attach more than ten files per comment.","U kunt niet meer dan 10 bestanden per opmerkingen toevoegen."
"Cannot Upload File","Kan bestand niet uploaden"
"Quote request rules","Offerte aanvraag regels"
"Coupon codes and gift cards are not allowed on quotes. Choose whether you'd like to keep the coupon code/gift card without requesting a quote, or request a quote without the coupon code/gift card.","Couponcodes en cadeaubonnen zijn niet toegestaan op offertes. Kies of u de kortingscode / cadeaubon wilt behouden zonder een prijsopgave aan te vragen of een prijsopgave aan te vragen zonder de kortingscode / cadeaubon."
"Go to Checkout","Ga naar afrekenen"
"The shopping cart isn't empty","De winkelwagen is niet leeg"
"You have items in your shopping cart. Would you like to merge items in this order with items of this shopping cart or replace them?","U heeft artikelen in uw winkelwagen. Wilt u deze artikelen samenvoegen in deze bestelling of deze vervangen?"
"Select Cancel to stay on the current page.","Selecteer ""Annuleren"" om op de huidige pagina te blijven."
"Are you sure you want to delete this quote?","Weet u zeker dat u deze offerte wilt verwijderen?"
"Go to Checkout?","Ga naar afrekenen?"
"Enable B2B Quote","B2B offerte inschakelen"
"Minimum order total for quote request.","Minimum totaal bedrag voor offerte verzoek."
"Minimum Amount Message","Minimumbedrag bericht"
"Default Expiration Period","Standaard vervalperiode"
"This period will be used as the default expiration time period for quotes. It can be changed for any quote.","Deze periode zal worden gebruikt als de standaard vervaltijd voor quotes. Het kan worden gewijzigd voor een citaat."
"Attached files","Bijgevoegde bestanden"
"File formats for upload","Bestandsindelingen voor uploaden"
"Separate each file extension with a comma. Special symboles like dots, converted commas, asterisk, etc. are not allowed.","Scheid elke bestandsextensie met een komma. Speciale symbolen zoals punt, geconverteerde komma's, asterisk, etc. zijn niet toegestaan."
"Maximum file size","Maximale bestandsgrootte"
"File size in MB. Note that this setting can be overridden by the server settings.","Bestandsgrootte in MB. Deze instelling kan worden overschreven door de serverinstellingen."
"Updated Quote Template (to Buyer)","Bijgewerkte offertesjabloon (aan de koper)"
"Declined Quote Template (to Buyer)","Afgewezen offertesjabloon (aan de koper)"
"New Quote Template (to Seller)","Nieuw offertesjabloon (aan de verkoper)"
"Updated Quote Template (to Seller)","Bijgewerkte offertesjabloon (aan de verkoper)"
"Quote Expiration (in 48 hrs)","Offerte vervalt (in 48 uur)"
"Quote Expiration (in 24 hrs)","Offerte vervalt (in 24 uur)"
"Expiration Date Reset","Vervaldatum terugzetten"
"Send Quote Email Copy To","Kopie van offerte mailen aan"
"Send Quote Email Copy Method","Kopie van offerte mailen methode"
"Request, Edit, Delete","Verzoek, bewerken, verwijderen"
"Checkout with quote","Afrekenen met offerte"
"View quotes of subordinate users","Bekijk offertes van ondergeschikte gebruikers"
"Allow Quotes","Offertes toestaan"
"Created Date","Aangemaakt op"
"Submitted By","Ingediend door"
"Last Updated","Laatste wijziging"
"Quote Total (Base)","Offerte totaal (Standaard)"
"Quote Total (Negotiated)","Offerte totaal (overeengekomen)"
"Quote Name",Offertenaam
"Quote Total","Offerte totaal"
"%fieldName is a required field.","%fieldName is een verplicht veld."
"No such public catalog entity","Geen dergelijke openbare catalogusentiteit"
"The product that was requested doesn't exist. Verify the product and try again.","Het aangevraagde product bestaat niet. Controleer het product en probeer het opnieuw."
"Shared Catalog (or Customer Group)","Gedeelde catalogus (of klantgroep)"
"Default Config","Standaard configuratie"
"Save Config","Configuratie opslaan"
"Use system value","Gebruik systeemwaarde"
"Use Default","Gebruik standaard"
"Use Website","Website gebruiken"
"Delete File","Bestand verwijderen"
"Search String",Zoektekst
"Add \Exception","Uitzondering toevoegen"
"-- No Theme --","-- Geen thema --"
Disable,Deactiveer
Configuration,Configuratie
"Class for type ""%1"" was not declared","Klasse voor type ""%1"" is niet gedefinieerd"
"%1 should implement %2","%1 moet %2 implementeren"
"The value you set has already been locked. To change the value, use the --%1 option.","De waarde die u instelt is al vergrendeld. Om de waarde te wijzigen, gebruik de--%1-optie."
"Configuration for path: ""%1"" doesn't exist","Configuratie voor pad: ""%1"" bestaat niet"
"You saved the configuration.","U heeft de configuratie opgeslagen."
"Something went wrong while saving this configuration:","Er ging iets mis bij het opslaan van deze configuratie:"
"Please specify the admin custom URL.","Geef de custom Admin-URL op."
"Invalid %1. %2","Ongeldige %1. %2"
"Value must be a URL or one of placeholders: %1","Ingevulde waarde moet een (tijdelijke) URL zijn: %1"
"Specify a URL or path that starts with placeholder(s): %1, and ends with ""/"".","Geef een URL of het pad dat begint met placeholder(s): %1, en eindigt met ""/""."
"%1 An empty value is allowed as well.","%1 een lege waarde is ook toegestaan."
"Specify a fully qualified URL.","Geef een volledig gekwalificeerde URL op."
"Selected allowed currency ""%1"" is not available in installed currencies.","Geselecteerde toegestane waarde ""%1"" is niet beschikbaar in geïnstalleerde waardens."
"Default display currency ""%1"" is not available in allowed currencies.","Standaard-valuta ""%1"" is niet beschikbaar in toegestane valuta."
"Sorry, we haven't installed the base currency you selected.","We hebben de basisvaluta niet geïnstalleerd die u geselecteerd heeft."
"We can't save the Cron expression.","We kunnen de Cron opdracht niet opslaan."
"Sorry, we haven't installed the default display currency you selected.","Sorry, het is niet gelukt om de standaard valuta welke u heeft geselecteerd in te stellen."
"Sorry, the default display currency you selected is not available in allowed currencies.","De standaard valuta weergave die u heeft geselecteerd is niet beschikbaar in de toegestane valuta's."
"Please correct the email address: ""%1"".","Corrigeer het e-mailadres: ""%1""."
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","De afzender naam ""%1"" is niet geldig. Gebruik alleen zichtbare tekens en spaties."
"Maximum sender name length is 255. Please correct your settings.","Maximale afzender naam lengte is 255. Corrigeer uw instellingen."
"The file you're uploading exceeds the server size limit of %1 kilobytes.","Het bestand dat u uploadt overschrijdt de limiet van de server van %1 kilobytes."
"The base directory to upload file is not specified.","De basisfolder om het bestand te uploaden is niet opgegeven."
"The specified image adapter cannot be used because of: %1","De opgegeven afbeelding adapter kan niet gebruikt worden omwille van: %1"
"Default scope",Standaard-scope
"Base currency",Basis-valuta
"Display default currency","Standaardvaluta weergeven"
"website(%1) scope","scope website(%1)"
"store(%1) scope","scope winkel (%1)"
"Currency ""%1"" is used as %2 in %3.","Valuta ""%1"" wordt gebruikt als %2 in %3."
"Please correct the timezone.","Corrigeer de tijdzone."
"The file ""%1"" does not exist","Het bestand ""%1"" bestaat niet"
"The ""%1"" path does not exist","Het pad ""%1"" bestaat niet"
"Always (during development)","Altijd (tijdens ontwikkeling)"
"Only Once (version upgrade)","Eenmalig (versie upgrade)"
"Never (production)","Nooit (productie)"
Bcc,"Bcc (Blinde kopie)"
"Separate Email","Afzonderlijke e-mail"
"%1 (Default)","%1 (standaard)"
Optional,Optioneel
"Store View",Winkelaanzicht
"HTTP (unsecure)","HTTP (onveilig)"
"Yes (302 Found)","Ja (302 gevonden)"
"Yes (301 Moved Permanently)","Ja (301 Permanent verplaatst)"
"Visible section not found.","Zichtbare sectie niet gevonden."
"Config form fieldset clone model required to be able to clone fields","Configuratie form fieldset clone model verplicht om velden te kunnen kopieren."
"%1: Instance of %2 is expected, got %3 instead","%1: Instance van %2 is verwacht, kreeg %3"
"'There is no defined type ' .","'Er is geen gedefinieerd type'."
"'Object is not instance of ' .","'Object is geen exemplaar van'."
"Filesystem is not writable.","Bestandssysteem is niet beschrijfbaar."
"Some message","Een zeker bericht"
"You cannot run this command because the Magento application is not installed.","U kunt dit commando niet uitvoeren, want de Magento-applicatie is niet geïnstalleerd."
"This command is unavailable right now.","Het commando is op dit moment niet beschikbaar."
"The ""test/test/test"" path does not exists","Het ""test/test/test""-pad bestaat niet"
"error message",foutmelding
"some prefix","een voorvoegsel"
"element hint","element tip"
"element comment","element opmerking"
"Add after","Toevoegen na"
"Current Configuration Scope:","Scope huidige configuratie"
Stores,Winkels
"Group Label",Groep-Label
"Some Label","Sommige labels"
"Allow everything","Alles toestaan"
"Magento Admin","Magento Site-beheer"
"Manage Stores","Beheer Winkels"
"Field 2","Veld 2"
"Field 3","Veld 3"
"Field 3.1","Veld 3.1"
"Field 3.1.1","Veld 3.1.1"
"Field 4","Veld 4"
"Advanced Section","Geavanceerde sectie"
"Advanced Admin Section","Geavanceerde adminsectie"
"Design Section","Ontwerp sectie"
"General Section","Algemene sectie"
"System Section","Systeem sectie"
"Currency Setup Section","Valuta-instellingen sectie"
"Developer Section","Ontwerper sectie"
"Web Section","Web sectie"
"Store Email Addresses Section","Winkel E-mailadressen sectie"
"Email to a Friend","E-mail naar een vriend"
"The file ""' . . '"" does not exist","Het bestand ""'"" ""bestaat niet"
"The class for ""%1"" type wasn't declared. Enter the class and try again.","De class van het ""%1"" type is niet gedeclareerd. Vul deze in en probeer het opnieuw."
"The ""%1"" email address is incorrect. Verify the email address and try again.","E-mailadres ""%1"" is ongeldig. Controleer het e-mailadres en probeer het opnieuw."
"The time zone is incorrect. Verify the time zone and try again.","De tijdzone is incorrect. Controleer de tijdzone en probeer het nogmaals."
"The ""%1"" file doesn't exist.","Het bestand ""%1"" bestaat niet."
"The ""%1"" path doesn't exist. Verify and try again.","Het pad ""%1"" bestaat niet. Controleer en probeer het opnieuw."
Dynamic,Dynamisch
Constant,Constante
"Conversion Color value is not valid ""%1"". Please set hexadecimal 6-digit value.","Kleur conversiewaarde is niet geldig ""%1"". Stel de hexadecimale waarde in van de 6-cijferige code."
"Conversion Id value is not valid ""%1"". Conversion Id should be an integer.","Conversie id-waarde is niet geldig ""%1"". Conversie-Id moet een geheel getal zijn."
"Conversion ID",Conversie-ID
"Conversion Language","Conversie taal"
"Conversion Format",Conversie-formaat
"Conversion Color","Conversie kleur"
"Conversion Label","Conversie Label"
"Conversion Value Type","Waardetype conversie"
"Conversion Value",Conversiewaarde
"Send Order Currency","Bestelling valuta"
"Account Activity",Accountactiviteit
"All other open sessions for this account were terminated.","Alle andere open sessies voor dit account werden beëindigd."
"We couldn't logout because of an error.","We konden niet uitloggen als gevolg van een fout."
"Someone logged into this account from another device or browser. Your current session is terminated.","Iemand anders is met dit account ingelogd met een ander apparaat of in een andere browser. Uw huidige sessie wordt beëindigd."
"Your current session is terminated by another user of this account.","Uw huidige sessie werd beëindigd door een andere gebruiker van dit account."
"Your account is temporarily disabled.","Uw account is tijdelijk uitgeschakeld."
"Your current session has been expired.","Uw huidige sessie is verlopen."
"By IP and Email","Via IP en Email"
"By IP","Via IP"
"By Email","Per E-mail"
"Too many password reset requests. Please wait and try again or contact %1.","Teveel aanvragen om het wachtwoord te resetten. Gelieve te wachten en probeer het later opnieuw of neem contact op met %1."
"Incorrect Security Checker class. It has to implement SecurityCheckerInterface","Onjuiste Security Checker class. Het moet SecurityCheckerInterface implementeren"
"This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.","Deze administrator-account is geopend in meer dan één locatie. Het is mogelijk dat de andere locaties mogelijk verschillende browsers of sessies op dezelfde computer zijn."
"Concurrent session information:","Gelijktijdige sessie-informatie:"
"IP Address","IP Adres"
"Time of session start","Sessie aanvangstijd"
"Are you sure that you want to log out all other sessions?","Weet u zeker dat u alle andere sessies wilt afmelden?"
"Log out all other sessions","Alle andere sessies afmelden"
"This computer is using IP address %1.","Deze computer maakt gebruik van IP-adres %1."
"Admin Account Sharing","Beheerdersaccount delen"
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","Indien ingesteld op Ja, kunt u vanaf meerdere computers dezelfde rekening inloggen. Standaardinstelling No verbetert de beveiliging."
"Password Reset Protection Type","Passwoord resetten beveiliging methode"
"Max Number of Password Reset Requests","Maximaal aantal wachtwoord reset verzoeken"
"Limit the number of password reset request per hour. Use 0 to disable.","Beperk aantal wachtwoord reset verzoeken per uur. Gebruik 0 om uit te schakelen."
"Min Time Between Password Reset Requests","Minimale tijd tussen wachtwoord reset verzoeken"
"Delay in minutes between password reset requests. Use 0 to disable.","Vertraging in minuten tussen wachtwoord reset verzoeken. Gebruik 0 om uit te schakelen."
"Your account is temporarily disabled. Please try again later.","Uw account is tijdelijk uitgeschakeld. Probeer het later opnieuw."
"We received too many requests for password resets. Please wait and try again later or contact %1.","We hebben teveel aanvragen ontvangen voor het opnieuw instellen van wachtwoorden. Even geduld aub en probeer het later opnieuw of neem contact op met %1."
"Read Product Price","Lees Product Prijs"
"Edit Product Price","Bewerk Product Prijs"
"Edit Product Status","Bewerk Product Status"
"Default Product Price","Standaard Product Prijs"
"Defines the default product price","Definieert de standaard product prijs"
"Unable to save address. Please check input data.","Kan het adres niet opslaan. Controleer de ingevoerde gegevens."
"Cart %1 doesn't contain products","Winkelwagen %1 bevat geen producten"
"Could not apply coupon code","Kortingscode kan niet worden toegepast"
"Coupon code is not valid","Couponcode is niet geldig"
"Could not delete coupon code","couponcode kan niet verwijderd worden "
"Cannot assign customer to the given cart. You don't have permission for this operation.","Kan klant niet aan de opgegeven winkelwagen koppelen. U heeft geen bevoegdheid om dit uit te voeren."
"Shipping address is not set","Verzendadres is niet ingesteld"
"The requested Payment Method is not available.","De gevraagde betaalmethode is niet beschikbaar."
"We found an invalid request for adding product to quote.","We vonden een ongeldige aanvraag om het product toe te voegen aan de quote."
"Product that you are trying to add is not available.","Product dat u probeert toe te voegen is niet beschikbaar."
"This is the wrong quote item id to update configuration.","Dit is het verkeerd quote item id om de configuratie bij te werken."
"This shipping method is not available. To use this shipping method, please contact us.","Deze verzendmethode is niet beschikbaar. Als u wilt deze verzendmethode gebruiken, neem contact met ons op."
"The address model is not defined.","De adres-model is niet gedefinieerd."
"The address total model should be extended from
                    \Magento\Quote\Model\Quote\Address\Total\AbstractTotal.","Het adres totaal model zal moeten worden uitgebreid van \Magento\Quote\Model\Quote\Address\Total\AbstractTotal."
"Shipping & Handling (%1)","Verzending & verwerking (%1)"
"We found an invalid item option format.","We vonden een ongeldig optie formaat."
"Item qty declaration error","Artikel-aantal declaratiefout"
"Some of the products below do not have all the required options.","Sommige van de producten hieronder hebben niet alle verplicht opties."
"Something went wrong during the item options declaration.","Er ging iets mis tijdens het opmaken van de opties van het item."
"We found an item options declaration error.","We vonden een productopties declaratie fout."
"Some of the selected options are not currently available.","Sommige van de geselecteerde opties zijn op dit moment niet beschikbaar."
"Selected option(s) or their combination is not currently available.","De geselecteerde optie(s) of de combinatie hiervan is op dit moment niet beschikbaar."
"Some item options or their combination are not currently available.","Sommige item opties of de combinatie hiervan zijn op dit moment niet beschikbaar."
"Cart %1 does not contain item %2","Winkelwagen %1 bevat product %2 niet"
"Could not save quote","Quote kon niet worden opgeslagen"
"Cart %1 doesn't contain item  %2","Winkelwagen %1 bevat geen artikel %2"
"Could not remove item from quote","Kan item niet verwijderen uit quote"
"The qty value is required to update quote item.","De qty waarde is verplicht om het quote item bij te werken."
"Minimum order amount is %1","Minimaal bestelaantal is %1"
"Invalid customer id %1","Ongeldig klant id %1"
"Invalid address id %1","Ongeldig adres id %1"
"Invalid customer address id %1","Ongeldig klant-adres id %1"
"Cannot create quote","Quote kon niet worden aangemaakt"
"Cannot assign customer to the given cart. The cart belongs to different store.","De klant kan niet toegewezen worden aan deze winkelwagen. De winkelwagen behoort toe aan een andere winkel."
"Cannot assign customer to the given cart. The cart is not anonymous.","De klant kan niet toegewezen worden aan deze winkelwagen. De winkelwagen is niet anoniem."
"Cannot assign customer to the given cart. Customer already has active cart.","De klant kan niet toegewezen worden aan deze winkelwagen. De klant heeft al een actieve winkelwagen."
"Invalid state change requested","Ongeldige statuswijziging gevraagd"
"Only 1 shipping assignment can be set","Slechts 1 verzending toewijzing kan worden ingesteld"
"This item price or quantity is not valid for checkout.","Deze productprijs of aantal is niet geldig voor afhandeling."
"Please check the shipping address information. %1","Gelieve de verzendgegevens van dit adres te controleren. %1"
"Some addresses cannot be used due to country-specific configurations.","Sommige adressen kunnen niet worden gebruikt als gevolg van land-specifieke configuraties."
"Please check the billing address information. %1","Gelieve de verzendgegevens van dit adres te controleren. %1"
"Please select a valid payment method.","Selecteer een geldige betaalmethode."
"Store Credit",Winkeltegoed
"Cart contains virtual product(s) only. Shipping address is not applicable.","Winkelwagen bevat alleen virtuele producten. Verzendadres is niet van toepassing."
"Shipping address not set.","Verzendadres niet ingesteld."
"Cannot set shipping method. %1","Kan de verzendmethode niet instellen.%1"
"Shipping method is not applicable for empty cart","Verzendmethode is niet van toepassing voor een lege winkelwagen"
"Cart contains virtual product(s) only. Shipping method is not applicable.","Winkelwagen bevat alleen virtuele product(en). Verzendmethode is hiervoor niet van toepassing."
"Minimum Order Amount Exceeded.","Minimum bestelbedrag overschreden."
Carts,Winkelwagens
"Manage carts","Winkelwagens beheren"
"Unable to save address. Please, check input data.","Kan adres niet opslaan. Controleer de ingevoerde gegevens."
"Carrier with such method not found: %1, %2","Vervoerder met dergelijke methode niet gevonden: %1, %2"
"Cart isn't assigned to correct store","De winkelwagen is niet toegewezen aan de juist winkel"
"Something went wrong. Please try to place the order again.","Er is een fout opgetreden. Probeer de order nogmaals te plaatsen."
"Some addresses can't be used due to the configurations for specific countries.","Sommige adressen kunnen niet worden gebruikt vanwege de configuraties voor specifieke landen."
"Please check the shipping address information.","Gelieve de verzendgegevens van dit adres te controleren."
"Please check the billing address information.","Gelieve het factuuradres te controleren."
"Enter a valid payment method and try again.","Voer een geldige betaalmethode in en probeer opnieuw."
"The address failed to save. Verify the address and try again.","Het opslaan van het adres is mislukt. Controleer het adres en probeer het opnieuw."
"The ""%1"" Cart doesn't contain products.","Winkelwagen ""%1"" bevat geen producten."
"The coupon code couldn't be applied. Verify the coupon code and try again.","De couponcode kon niet worden toegepast. Controleer de couponcode en probeer het opnieuw."
"The coupon code isn't valid. Verify the code and try again.","De kortingscode is niet geldig. Controleer de code en probeer het opnieuw."
"The coupon code couldn't be deleted. Verify the coupon code and try again.","De couponcode kon niet worden verwijderd. Controleer de couponcode en probeer het opnieuw."
"You don't have the correct permissions to assign the customer to the cart.","U heeft niet de juiste machtigingen om de klant aan de winkelwagen toe te wijzen."
"The shipping address is missing. Set the address and try again.","Het verzendadres ontbreekt. Stel het adres in en probeer het opnieuw."
"The %1 Cart doesn't contain the %2 item.","Winkelwagen ""%1"" bevat geen product ""%2""."
"The quote couldn't be saved.","De offerte kan niet worden opgeslagen."
"The item couldn't be removed from the quote.","Het product kon niet uit de offerte worden verwijderd."
"The quote can't be created.","De offerte kan niet worden gemaakt."
"The customer can't be assigned to the cart. The cart belongs to a different store.","De klant worden niet toegewezen aan de winkelwagen. De winkelwagen behoort tot een andere winkel."
"The customer can't be assigned to the cart because the cart isn't anonymous.","De klant kan niet worden toegewezen aan de winkelwagen, omdat de winkelwagen niet anoniem is."
"The customer can't be assigned to the cart because the customer already has an active cart.","De klant kon niet toegewezen worden aan de winkelwagen, omdat de klant al een actieve winkelwagen heeft."
"The Cart includes virtual product(s) only, so a shipping address is not used.","De winkelwagen bevat alleen virtuele producten, waardoor een verzendadres niet nodig is."
"The shipping method can't be set. %1","De verzendmethode kan niet ingesteld worden. %1"
"The shipping method can't be set for an empty cart. Add an item to cart and try again.","De verzendmethode kan niet worden ingesteld voor een lege winkelwagen. Voeg een item toe aan de winkelwagen en probeer het opnieuw."
"Current customer does not have an active cart.","Huidige klant heeft geen actieve winkelwagen."
"No New Relic Application ID configured, cannot continue with Cron Event reporting","Geen New Relic Applicatie ID is geconfigureerd, kan niet doorgaan met Cron evenement rapportering"
"The New Relic integration requires the newrelic-php5 agent, which is not installed. More 
                        information on installing the agent is available <a target=""_blank"" href=""%1"">here</a>.","De New Relic integratie vereist de newrelic-php5-agent, die niet is geïnstalleerd. Meer informatie over het installeren van de agent is <a target=""_blank"" href=""%1"">hier</a> beschikbaar."
"New Relic Reporting Section","New Relic Rapportage Sectie"
"New Relic Reporting","New Relic Rapportage"
"Enable New Relic Integration","Schakel New Relic integratie in"
"Use %s to replace the account ID in the URL","Gebruik van %s te vervangen door de account-ID in de URL"
"""Need a New Relic account? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Click here to get one","""New Relic Account nodig? <a href=""http://www.newrelic.com/magento"" target=""_blank"">Klik hier om er een te krijgen"
"New Relic Application ID","New Relic Applicatie ID"
"This can commonly be found at the end of the URL when viewing the APM after ""/applications/""","Dit kan vaak worden gevonden op het einde van de URL bij het bekijken van de APM na ""/applications /"""
"New Relic API Key","New Relic API Sleutel"
"This is located by navigating to Events -> Deployments from the New Relic APM website","Dit ligt door te navigeren naar Gebeurtenissen-> Implementaties van de New Relic APM-website"
"Insights API Key","Insights API Sleutel"
"Generated under Insights in Manage data -> API Keys -> Insert Keys","Die zijn verkregen onder Insights in Beheer gegevens-> API Keys-> invoegen sleutels"
"New Relic Application Name","New Relic Applicatie Naam"
"This is located by navigating to Settings from the New Relic APM website","Dit ligt door te navigeren naar Instellingen van de New Relic APM-website"
"Enable Cron","Cron inschakelen"
"Send Adminhtml and Frontend as Separate Apps","Verstuur Adminhtml en Frontend als Separate Apps"
"In addition to the main app (which includes all PHP execution), separate apps for adminhtml and frontend will be created. Requires New Relic Application Name to be set.","Naast de belangrijkste app (inclusief alle PHP executie), worden aparte apps voor adminhtml en frontend aangemaakt. Vereist het instellen van een nieuwe Relic Applicatie naam."
"To see product price, add this item to your cart. You can always remove it later.","Om de prijs van het product te zien, voeg dit product toe aan uw winkelwagen. U kunt het later altijd verwijderen."
"See price before order confirmation.","Bekijk prijs voor bestelbevestiging."
"On Gesture","Op gebaar"
"In Cart","In winkelwagen"
"Before Order Confirmation","Voorafgaand aan orderbevestiging"
"Use config","Gebruik configuratie"
"Click for price","Klik voor de prijs"
"Order total will be displayed before you submit the order","Bestel totalen zullen worden weergegeven voordat u de bestelling verstuurd"
"You will see the order total before you submit the order.","U ziet het besteltotaal voordat u de bestelling verstuurd."
"Actual Price","Werkelijke prijs"
"Minimum Advertised Price","Minimum geadverteerde verkoopprijs"
"Enable MAP","MAP (minimaal geadverteerde prijs) inschakelen"
"Display Actual Price","Toon werkelijke prijs"
"Default Popup Text Message","Standaard popup bericht"
"Default ""What's This"" Text Message","Standaard ""Wat is dit?"" bericht"
"Catalog Structure","Structuur van de catalogus"
"Catalog Id","Catalogus ID"
"Store Id","Winkel ID"
"This action cannot be undone. Are you sure you want to delete this catalog?","Deze actie kan niet ongedaan worden gemaakt. Weet u zeker dat u wilt verwijderen van deze catalogus?"
Duplicate,Dupliceren
"Linked Products","Gekoppelde producten"
Pricing,Prijzen
"All Stores","Alle winkels"
"Shared Catalogs","Gedeelde catalogussen"
"The companies have been reassigned.","De bedrijven zijn opnieuw toegewezen."
"Error while reassigning the company.","Fout tijdens het opnieuw toewijzen van het bedrijf."
"Discount value cannot be outside the range 0-100","Kortingswaarde mag niet buiten het bereik 0-100 liggen"
"We found a duplicate website, tier price or quantity.","Dubbele website, staffelprijs, of aantal gevonden."
"The selected items are being processed. You can continue to work in the meantime.","De geselecteerde items worden verwerkt. U kunt blijven werken in de tussentijd."
"The selected changes have been applied to the shared catalog.","De geselecteerde wijzigingen zijn aangebracht aan de gedeelde catalogus."
"New Shared Catalog","Nieuwe gedeelde catalogus"
"The shared catalog was deleted successfully.","De gedeelde catalogus is verwijderd."
"Duplicate of %1","Duplicaat van %1"
"You saved the shared catalog.","U heeft de gedeelde catalogus opgeslagen."
"Something went wrong while saving the shared catalog.","Er ging iets fout bij het opslaan van de gedeelde catalogus."
"A total of %1 record(s) were deleted.","Een totaal van %1 veld(en) werden verwijderd."
"No shared catalog name is specified in request.","Geen gedeelde catalogus-naam is opgegeven in de aanvraag."
"Requested categories don't exist: %categoriesIds.","Gevraagde categorieën bestaan niet: %categoriesIds."
"You cannot unassign a company from the public shared catalog.","U kunt een bedrijf niet uit de openbare gedeelde catalogus verwijderen."
"Could not set default customer group","Kan standaard klantgroep niet instellen"
